Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"BRADY CORP",746598,BRC,NYSE,390178960,"6555 W GOOD HOPE RD","P O BOX 571",MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53201-0571,"(414) 358-6600",WI,,,3990,"Miscellaneous Manufacturing Industries",322222,"Coated and Laminated Paper Manufacturing",34,"Deloitte & Touche LLP",3,,,,"1,198,000",0,0,0,"913,000","511,000","402,000",0,"913,000","2,111,000",USD,,,0,2021-07-31,2021,07,0731,"S&P 600 SmallCap","Russell 2000",10-K,2021-09-02,54.77,2021-08-02,"2,657,684,480",2021-07-31,"1,144,698,000","129,659,000","256,557,000","1,377,756,000"
"MISONIX INC",880432,,,841856018,"1938 NEW HIGHWAY",,FARMINGDALE,Nassau,NY,"NEW YORK","US Mid Atlantic",11735,"(631) 694-9555",DE,,,3821,"Laboratory Apparatus and Furniture",334516,"Analytical Laboratory Instrument Manufacturing",34,"Deloitte & Touche LLP",3,,,,"750,208","17,500",0,0,0,,,0,"17,500","767,708",USD,,,0,2021-06-30,2021,06,0630,,,10-K,2021-09-02,21.98,2021-07-02,"382,602,464",2021-06-30,"74,024,073","-14,473,325","6,434,673","198,860,218"
"APPLIED INDUSTRIAL TECHNOLOGIES INC",109563,AIT,NYSE,340117420,"ONE APPLIED PLAZA",,CLEVELAND,Cuyahoga,OH,OHIO,"US Midwest",44115-5056,"(216) 426-4753",OH,,,5080,"Wholesale-Machinery, Equipment & Supplies",423830,"Industrial Machinery and Equipment Merchant Wholesalers",34,"Deloitte & Touche LLP",3,,,,"1,860,200","25,000",0,0,"411,100","130,700","280,400","4,100","440,200","2,300,400",USD,,,0,2021-06-30,2021,06,0630,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-09-10,91.16,2021-07-02,"3,542,421,760",2021-06-30,"3,235,919,000","144,757,000","92,841,000","2,271,807,000"
"STANDEX INTERNATIONAL CORP/DE/",310354,SXI,NYSE,310596149,"23 KEEWAYDIN DRIVE","SUITE 300",SALEM,Rockingham,NH,"NEW HAMPSHIRE","US New England",03079,"(603) 893-9701",DE,,,3580,"Refrigeration & Service Industry Machinery",333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Man",34,"Deloitte & Touche LLP",3,,,,"1,371,000",0,0,0,"94,000",,,0,"94,000","1,465,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-09-10,94.12,2021-07-02,"1,154,014,336",2021-06-30,"656,232,000","36,473,000","129,442,000","962,223,000"
"KIMBALL INTERNATIONAL INC",55772,KBAL,"NASDAQ Global Select Market",350514506,"1600 ROYAL ST",,JASPER,Dubois,IN,INDIANA,"US Midwest",47546-2256,"(812) 482-1600",IN,,,2510,"Household Furniture",337214,"Office Furniture (except Wood) Manufacturing",34,"Deloitte & Touche LLP",3,,,,"926,600","396,829",0,0,"70,000",,,0,"466,829","1,393,429",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-09-13,13.11,2021-07-02,"479,739,040",2021-06-30,"569,008,000","7,416,000","93,230,000","444,595,000"
"MasterCraft Boat Holdings, Inc.",1638290,MCFT,"NASDAQ Global Market",061571747,"100 CHEROKEE COVE DRIVE",,VONORE,Monroe,TN,TENNESSEE,"US Southeast",37885,"(423) 884-2221",DE,,,3730,"Ship & Boat Building & Repairing",336612,"Boat Building",34,"Deloitte & Touche LLP",3,,,,"1,080,000",0,0,0,0,,,"1,895","1,895","1,081,895",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-09-15,25.68,2021-07-02,"486,646,496",2021-06-30,"525,808,000","56,170,000","18,296,000","276,460,000"
"AUTOMATIC DATA PROCESSING INC",8670,ADP,"NASDAQ Global Select Market",221467904,"ONE ADP BOULVARD",,ROSELAND,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07068,"(973) 974-5000",DE,,,7374,"Computer Processing and Data Preparation and Processing Services",518210,"Data Processing, Hosting, and Related Services",34,"Deloitte & Touche LLP",3,,,,"9,042,000","1,389,000",0,0,"1,584,000",,,"2,000","2,975,000","12,017,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 500","Russell 1000","DEF 14A",2021-09-23,201.48,2021-07-02,"85,733,433,344",2021-06-30,"15,005,400,000","2,598,500,000","2,121,600,000","48,772,500,000"
"MATRIX SERVICE CO",866273,MTRX,"NASDAQ Global Select Market",731352174,"15 EAST 5TH STREET","SUITE 1100",TULSA,Tulsa,OK,OKLAHOMA,"US Southwest",74103,"(918) 838-8822",DE,,,1700,"Construction - Special Trade Contractors",236210,"Industrial Building Construction",34,"Deloitte & Touche LLP",3,,,,"1,179,058",0,0,0,0,,,"10,000","10,000","1,189,058",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-09-23,10.54,2021-07-02,"293,941,792",2021-06-30,"673,398,000","-31,224,000","218,289,000","467,556,000"
"COTY INC.",1024305,COTY,NYSE,133823358,"350 FIFTH AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10118,"(212) 389-7300",,,,2844,"Perfumes, Cosmetics, and Other Toilet Preparations",325620,"Toilet Preparation Manufacturing",34,"Deloitte & Touche LLP",3,,,,"10,854,000","271,000",0,0,"1,395,000","1,395,000",,0,"1,666,000","12,520,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 400 MidCap","Russell 1000","DEF 14A",2021-09-23,8.89,2021-07-02,"6,810,692,096",2021-06-30,"4,629,900,000","-201,300,000","-4,600,000,000","13,691,400,000"
"PARKER HANNIFIN CORP",76334,PH,NYSE,340451060,"6035 PARKLAND BOULEVARD",,CLEVELAND,Cuyahoga,OH,OHIO,"US Midwest",44124-4141,"(216) 896-3000",OH,,,3490,"Miscellaneous Fabricated Metal Products",339991,"Gasket, Packing, and Sealing Device Manufacturing",34,"Deloitte & Touche LLP",3,,,,"8,525,000","675,000",0,0,"1,574,093","782,278","791,815",0,"2,249,093","10,774,093",USD,,,0,2021-06-30,2021,06,0630,"S&P 500","Russell 1000","DEF 14A",2021-09-24,308.27,2021-07-02,"39,784,075,264",2021-06-30,"14,347,640,000","1,746,100,000","-3,181,177,000","20,341,200,000"
"TAPESTRY, INC.",1116132,TPR,NYSE,522242751,"10 HUDSON YARDS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10001,"(212) 946-8400",MD,,,3100,"Leather & Leather Products",316992,"Women's Handbag and Purse Manufacturing",34,"Deloitte & Touche LLP",3,,,,"5,095,000","201,000",0,0,"1,266,000",,,"15,000","1,482,000","6,577,000",USD,,,0,2021-07-03,2021,6,0627,"S&P 500","Russell 1000","DEF 14A",2021-09-24,42.49,2021-07-01,"11,848,690,688",2021-07-03,"5,746,300,000","834,200,000","588,600,000","8,382,400,000"
"New Oriental Education & Technology Group Inc.",1372920,EDU,NYSE,000000000,"NO. 6 HAI DIAN ZHONG STREET, 9TH FLOOR",,BEIJING,,F4,CHINA,Foreign,100080,"(86-10) 6260-5566",E9,,,8200,"Services-Educational Services",611710,"Educational Support Services",34,"Deloitte & Touche LLP",3,"Deloitte Touche Tohmatsu Certified Public Accountants LLP",499,CHINA,"2,629,000","1,717,000",0,0,"31,000",,,"195,000","1,943,000","4,572,000",USD,,,0,2021-05-31,2021,05,0531,,,20-F,2021-09-24,10.6,2021-06-02,"16,805,248,000",2021-05-31,"4,276,539,000","334,414,000","4,821,196,000","10,151,053,000"
"SelectQuote, Inc.",1794783,SLQT,NYSE,943339273,"6800 WEST 115TH STREET","SUITE 2511","OVERLAND PARK",Johnson,KS,KANSAS,"US Midwest",66211,"(913) 274-1994",DE,,,6411,"Insurance Agents, Brokers, and Service",524113,"Direct Life Insurance Carriers",34,"Deloitte & Touche LLP",3,,,,"1,750,000","453,368",0,0,"177,227",,,0,"630,595","2,380,595",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-09-27,19.05,2021-07-02,"3,112,576,768",2021-06-30,"929,981,000","124,859,000","545,739,000","1,423,861,000"
"Kimball Electronics, Inc.",1606757,KE,"NASDAQ Global Select Market",352047713,"1205 KIMBALL BLVD.",,JASPER,Dubois,IN,INDIANA,"US Midwest",47546,"(812) 634-4000",IN,,,3672,"Printed Circuit Boards",541330,"Engineering Services",34,"Deloitte & Touche LLP",3,,,,"1,200,824",0,"7,952",0,"99,464",,,0,"107,416","1,308,240",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2021-09-28,21.67,2021-07-02,"540,819,520",2021-06-30,"1,291,807,000","56,791,000","412,953,000","814,061,000"
"CDK Global, Inc.",1609702,,,465743146,"1950 HASSELL ROAD",,"HOFFMAN ESTATES",Cook,IL,ILLINOIS,"US Midwest",60169,"(847) 397-1700",DE,,,7389,"Business Services, NEC",518210,"Data Processing, Hosting, and Related Services",34,"Deloitte & Touche LLP",3,,,,"3,262,000","4,627,000",0,0,"2,116,000",,,0,"6,743,000","10,005,000",USD,,,0,2021-06-30,2021,06,0630,,"Russell 1000","DEF 14A",2021-09-28,49.92,2021-07-02,"6,078,946,816",2021-06-30,"1,673,200,000","1,034,300,000","-1,149,000,000","2,712,600,000"
"Lumentum Holdings Inc.",1633978,LITE,"NASDAQ Global Select Market",473108385,"1001 RIDDER PARK DRIVE",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95131,"(408) 546-5483",DE,,,3669,"Communications Equipment, NEC",334210,"Telephone Apparatus Manufacturing",34,"Deloitte & Touche LLP",3,,,,"3,343,000","1,057,000",0,0,"154,000",,,"15,000","1,226,000","4,569,000",USD,Uncertain,,0,2021-07-03,2021,6,0701,"S&P 400 MidCap","Russell 1000","DEF 14A",2021-09-30,83.98,2021-07-01,"6,374,082,048",2021-07-03,"1,742,800,000","397,300,000","1,362,700,000","3,551,600,000"
"LESAKA TECHNOLOGIES INC",1041514,LSAK,"NASDAQ Global Select Market",980171860,"4TH FLOOR, PRESIDENT PLACE","CNR. JAN SMUTS & BOLTON","ROSEBANK, JOHANNESBURG",,T3,"SOUTH AFRICA",Foreign,00000,"27 11 343 2000",,,,6099,"Functions Related to Deposit Banking, NEC",517110,"Wired Telecommunications Carriers",34,"Deloitte & Touche LLP",3,"Deloitte & Touche",24,"SOUTH AFRICA","1,909,000",0,0,0,0,,,0,0,"1,909,000",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-01,4.56,2021-07-02,"257,903,968",2021-06-30,"130,786,000","-38,057,000","331,449,000","428,330,000"
"BLACKROCK CALIFORNIA MUNICIPAL INCOME TRUST",1137391,,,510409109,"100 BELLEVUE PARKWAY","MUTUAL FUND DEPARTMENT",WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(888) 825-2257",DE,,,,,525990,"Other Financial Vehicles",40,"Deloitte & Touche LLP",3,,,,"30,805",207,0,0,"14,500",,,0,"14,707","45,512",USD,,,0,2021-07-31,2021,07,731,,,N-CSR,2021-10-04,15.01,2021-07-31,"470,438,662",2021-07-31,"28,538,599","28,520,932",,"827,799,696"
"BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND, INC.",1051004,,,223559052,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",MD,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"20,900",,,0,"21,107","56,760",USD,,,0,2021-07-31,2021,07,0630,,,N-CSR,2021-10-04,16.09,2021-07-28,"659,877,223",2021-07-28,"35,798,364","35,270,007",,"1,072,474,702"
"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.",1053988,,,223564106,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",MD,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"14,000",,,0,"14,207","49,860",USD,,,0,2021-07-31,2021,07,0731,,,N-CSR,2021-10-04,15.63,2021-07-31,"470,262,451",2021-07-31,"36,626,121","36,405,474",,"795,136,932"
"BLACKROCK MUNIYIELD CALIFORNIA QUALITY FUND, INC.",888410,,,223194459,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,,525990,"Other Financial Vehicles",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"14,900",,,0,"15,107","50,760",USD,,,0,2021-07-31,2021,07,731,,,N-CSR,2021-10-04,15.83,2021-07-31,"544,642,500",2021-07-31,"37,817,431","36,126,003",,"933,266,743"
"BLACKROCK MUNIYIELD NEW YORK QUALITY FUND, INC.",882150,,,223144223,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"20,900",,,0,"21,107","56,760",USD,,,0,2021-07-31,2021,07,731,,,N-CSR,2021-10-04,14.56,2021-07-31,"576,380,663",2021-07-31,"35,070,869","32,460,999",,"941,608,276"
"BLACKROCK MUNIYIELD NEW JERSEY FUND, INC.",884216,,,223153971,"100  BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",NJ,,,,,525990,"Other Financial Vehicles",40,"Deloitte & Touche LLP",3,,,,"31,714",207,0,0,"13,000",,,0,"13,207","44,921",USD,,,0,2021-07-31,2021,07,731,,,N-CSR,2021-10-04,15.62,2021-07-31,"376,823,394",2021-07-31,"29,713,730","29,673,033",,"632,587,022"
"BLACKROCK MUNIYIELD QUALITY FUND III, INC.",883412,,,223165131,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"28,800",,,0,"29,007","64,660",USD,,,0,2021-07-31,2021,07,731,,,N-CSR,2021-10-04,15.12,2021-07-31,"1,030,438,297",2021-07-31,"86,447,660","82,462,324",,"1,667,107,977"
"BLACKROCK MUNIHOLDINGS QUALITY FUND II, INC.",1071899,,,223636347,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"14,000",,,0,"14,207","49,860",USD,,,0,2021-07-31,2021,07,731,,,N-CSR,2021-10-04,14.41,2021-07-31,"324,524,137",2021-07-31,"21,186,199","20,944,306",,"519,206,789"
"BLACKROCK MUNIYIELD CALIFORNIA FUND, INC.",882152,,,223144221,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",MD,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"14,000",,,0,"14,207","49,860",USD,,,0,2021-07-31,2021,07,1031,,,N-CSR,2021-10-04,15.52,2021-07-28,"332,430,547",2021-07-28,"21,362,556","20,134,324",,"568,778,173"
"BLACKROCK MUNIYIELD PENNSYLVANIA QUALITY FUND",891038,,,223199516,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",NJ,,,,,525990,"Other Financial Vehicles",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"11,900",,,0,"12,107","47,760",USD,,,0,2021-07-31,2021,07,1031,,,N-CSR,2021-10-04,16.23,2021-07-31,"215,970,143",2021-07-31,"17,000,194","16,101,286",,"351,627,539"
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",1383312,BR,NYSE,331151291,"5 DAKOTA DRIVE",,"LAKE SUCCESS",Nassau,NY,"NEW YORK","US Mid Atlantic",11042,"(516) 472-5400",,,,7389,"Business Services, NEC",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",34,"Deloitte & Touche LLP",3,,,,"5,158,000","5,597,000",0,0,"528,000",,,"249,000","6,374,000","11,532,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 500","Russell 1000","DEF 14A",2021-10-05,164.41,2021-07-02,"19,092,224,000",2021-06-30,"4,993,700,000","547,400,000","-3,336,100,000","8,119,700,000"
"Performance Food Group Co",1618673,PFGC,NYSE,431983182,"12500 WEST CREEK PARKWAY",,RICHMOND,Henrico,VA,VIRGINIA,"US Mid Atlantic",23238,"(804) 484-7700",DE,,,5141,"Groceries, General Line",722310,"Food Service Contractors",34,"Deloitte & Touche LLP",3,,,,"2,720,000","80,000",0,0,0,,,0,"80,000","2,800,000",USD,,,0,2021-07-03,2021,6,0627,"S&P 400 MidCap","Russell 1000","DEF 14A",2021-10-07,48.21,2021-07-01,"6,450,528,768",2021-07-03,"30,398,900,000","40,700,000","-45,000,000","7,845,700,000"
"LANCASTER COLONY CORP",57515,LANC,"NASDAQ Global Select Market",131955943,"380 POLARIS PARKWAY",,WESTERVILLE,Delaware,OH,OHIO,"US Midwest",43082,"(614) 224-7141",OH,,,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",34,"Deloitte & Touche LLP",3,,,,"1,507,425","21,000",0,0,0,,,0,"21,000","1,528,425",USD,,,0,2021-06-30,2021,06,0630,"S&P 400 MidCap","Russell 2000","DEF 14A",2021-10-12,194,2021-07-02,"5,343,730,176",2021-06-30,"1,467,067,000","142,332,000","576,010,000","1,101,285,000"
"MICROSOFT CORP",789019,MSFT,"NASDAQ Global Select Market",911144442,"ONE MICROSOFT WAY",,REDMOND,King,WA,WASHINGTON,"US West",98052-6399,"(425) 882-8080",WA,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Deloitte & Touche LLP",3,,,,"42,300,000","10,491,000",0,0,"4,312,000",,,"37,000","14,840,000","57,140,000",USD,,,0,2021-06-30,2021,06,0630,"S&P 500","Russell 1000","DEF 14A",2021-10-14,277.65,2021-07-02,"2,091,141,693,440",2021-06-30,"168,088,000,000","61,271,000,000","84,477,000,000","333,779,000,000"
"Affirm Holdings, Inc.",1820953,AFRM,"NASDAQ Global Select Market",842224323,"650 CALIFORNIA STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94108,"(415) 722-8633",DE,,,6141,"Personal Credit Institutions",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",34,"Deloitte & Touche LLP",3,,,,"3,142,438","874,715",0,0,"633,314",,,0,"1,508,029","4,650,467",USD,,,0,2021-06-30,2021,06,1231,,"Russell 1000","DEF 14A",2021-10-20,68.87,2021-07-02,"10,163,765,248",2021-06-30,"870,464,000","-441,027,000","1,991,082,000","4,866,967,000"
"Madison Square Garden Sports Corp.",1636519,MSGS,NYSE,473373056,"TWO PENNSYLVANIA PLAZA",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10121,"(212) 465-4111",DE,,,7990,"Services-Miscellaneous Amusement & Recreation",711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",34,"Deloitte & Touche LLP",3,,,,"650,000","25,000",0,0,0,,,0,"25,000","675,000",USD,,,0,2021-06-30,2021,06,0630,,"Russell 1000","DEF 14A",2021-10-22,173.11,2021-07-02,"3,390,725,120",2021-06-30,"415,721,000","-13,954,000","-545,102,000","1,309,939,000"
"FLEXSTEEL INDUSTRIES INC",37472,FLXS,"NASDAQ Global Select Market",420442319,"385 BELL ST.",,DUBUQUE,Dubuque,IA,IOWA,"US Midwest",52001,"(319) 556-7730",MN,,,2510,"Household Furniture",337121,"Upholstered Household Furniture Manufacturing",34,"Deloitte & Touche LLP",3,,,,"750,000",0,0,0,0,,,0,0,"750,000",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-26,41.6,2021-07-02,"285,109,472",2021-06-30,"478,925,000","23,048,000",,"296,779,000"
"Nutanix, Inc.",1618732,NTNX,"NASDAQ Global Select Market",270989767,"1740 TECHNOLOGY DRIVE","SUITE 150","SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95110,"(408) 216-8360",DE,,,7372,"Prepackaged Software",511210,"Software Publishers",34,"Deloitte & Touche LLP",3,,,,"3,511,013","210,000",0,0,"600,018",,,0,"810,018","4,321,031",USD,,,0,2021-07-31,2021,07,0731,,"Russell 1000","DEF 14A",2021-10-26,35.99,2021-08-02,"7,353,529,344",2021-07-31,"1,394,364,000","-1,034,260,000","-1,229,313,000","2,277,496,000"
"FARMER BROTHERS CO",34563,FARM,"NASDAQ Global Select Market",950725980,"1912 FARMER BROTHERS DRIVE",,NORTHLAKE,Denton,TX,TEXAS,"US Southwest",76262,"(888) 998-2468",DE,,,2090,"Miscellaneous Food Preparations & Kindred Products",311920,"Coffee and Tea Manufacturing",34,"Deloitte & Touche LLP",3,,,,"1,098,523",0,0,0,0,,,0,0,"1,098,523",USD,,,0,2021-06-30,2021,06,0630,,,"DEF 14A",2021-10-27,12.49,2021-07-02,"222,604,976",2021-06-30,"397,850,000","-41,651,000","86,707,000","338,006,000"
"InnovAge Holding Corp.",1834376,INNV,"NASDAQ Global Select Market",810710819,"8950 E. LOWRY BOULEVARD",,DENVER,Denver,CO,COLORADO,"US West",80230,"(303) 869-4664",DE,,,8000,"Services-Health Services",621610,"Home Health Care Services",34,"Deloitte & Touche LLP",3,,,,"1,977,996",0,0,0,0,,,0,0,"1,977,996",USD,,,0,2021-06-30,2021,06,0630,,"Russell 2000","DEF 14A",2022-02-17,21.58,2021-07-02,"2,924,446,464",2021-06-30,"637,800,000","-43,986,000","220,810,000","531,752,000"
"WINNEBAGO INDUSTRIES INC",107687,WGO,NYSE,420802678,"13200 PIONEER TRAIL","SUITE 150","EDEN PRAIRIE",Hennepin,MN,MINNESOTA,"US Midwest",55347,"(952) 829-8600",MN,,,3716,"Motor  Homes",336213,"Motor Home Manufacturing",34,"Deloitte & Touche LLP",3,,,,"1,528,000","34,000",0,0,0,,,0,"34,000","1,562,000",USD,,,0,2021-08-28,2021,08,0826,"S&P 600 SmallCap","Russell 2000","DEF 14A",2021-11-01,72.34,2021-08-30,"2,430,586,880",2021-08-28,"3,629,847,000","281,871,000","318,478,000","2,062,567,000"
"THOR INDUSTRIES INC",730263,THO,NYSE,930768752,"601 E. BEARDSLEY AVENUE",,ELKHART,Elkhart,IN,INDIANA,"US Midwest",46514,"(574) 970-7460",DE,,,3716,"Motor  Homes",336214,"Travel Trailer and Camper Manufacturing",34,"Deloitte & Touche LLP",3,,,,"5,435,000","25,000",0,0,"821,000",,,0,"846,000","6,281,000",USD,,,0,2021-07-31,2021,07,0731,"S&P 400 MidCap","Russell 1000","DEF 14A",2021-11-03,118.2,2021-08-02,"6,544,289,792",2021-07-31,"12,317,380,000","659,872,000","421,417,000","6,654,088,000"
"BLACKROCK MUNIHOLDINGS INVESTMENT QUALITY FUND",1045126,,,223536487,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",MA,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"19,900",,,0,"20,107","55,760",USD,,,0,2021-08-31,2021,08,0831,,,N-CSR,2021-11-03,14.88,2021-08-28,"563,895,575",2021-08-28,"46,068,285","45,854,412",,"965,779,215"
"BLACKROCK MUNIHOLDINGS NEW YORK QUALITY FUND, INC.",1038186,,,223536490,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",MD,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"17,900",,,0,"18,107","53,760",USD,,,0,2021-08-31,2021,08,0831,,,N-CSR,2021-11-03,14.74,2021-08-28,"458,886,019",2021-08-28,"29,340,240","29,264,102",,"782,167,699"
"BLACKROCK MUNICIPAL INCOME QUALITY TRUST",1181187,,,000000000,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,,525990,"Other Financial Vehicles",40,"Deloitte & Touche LLP",3,,,,"32,421",207,0,0,"14,900",,,0,"15,107","47,528",USD,,,0,2021-08-31,2021,08,731,,,N-CSR,2021-11-03,16.06,2021-08-31,"424,158,444",2021-08-31,"28,456,287","28,259,622",,"670,759,635"
"BLACKROCK MUNICIPAL INCOME TRUST II",1176194,,,010722216,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(888) 441-7762",DE,,,,,525920,"Trusts, Estates, and Agency Accounts",40,"Deloitte & Touche LLP",3,,,,"32,421","10,614",0,0,"33,200",,,0,"43,814","76,235",USD,,,0,2021-08-31,2021,08,731,,,N-CSR,2021-11-03,16.1,2021-08-31,"783,329,336",2021-08-31,"37,325,081","54,979,015",,"1,212,369,885"
"BLACKROCK MUNIVEST FUND, INC.",835948,,,222919170,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",MD,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"35,653",207,0,0,"21,300",,,0,"21,507","57,160",USD,,,0,2021-08-31,2021,08,731,,,N-CSR,2021-11-03,9.8,2021-08-31,"635,396,436",2021-08-31,"57,515,913","57,056,006",,"1,013,698,299"
"COMMERCIAL METALS Co",22444,CMC,NYSE,750725338,"6565 N. MACARTHUR BLVD., SUITE 800","P O BOX 1046",IRVING,Dallas,TX,TEXAS,"US Southwest",75039,"(214) 689-4300",DE,,,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",331111,"Iron and Steel Mills",34,"Deloitte & Touche LLP",3,,,,"3,521,577",0,0,0,"2,451",,,"6,154","8,605","3,530,182",USD,,,0,2021-08-31,2021,08,0831,"S&P 400 MidCap","Russell 2000","DEF 14A",2021-11-23,32.11,2021-09-02,"3,872,035,328",2021-08-31,"6,729,760,000","412,865,000","2,218,623,000","4,638,671,000"
"EATON VANCE MUNICIPAL BOND FUND",1176984,,,000000000,"TWO INTERNATIONAL PLACE",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 482-8260",,,,,,525910,"Open-End Investment Funds",40,"Deloitte & Touche LLP",3,,,,"113,100",0,0,0,"18,993",,,0,"18,993","132,093",USD,,,0,2021-09-30,2021,09,0930,,,N-CSR,2021-11-23,,,"962,733,602",2021-09-30,"87,730,846","64,177,213","1,555,904,717","2,589,999,987"
